"Timestamp","Which would you prefer for watching movies and TV?","Which would you prefer for online learning?","Which would you prefer for advertisements and commercials?","Which would you prefer for online shopping?","How do you define your gender?","What is your age group?","How do you define your ethnicity?","In your opinion, could this format of viewing media create more diversity in the videos people see in general?","Who would you choose to see in some of your favorite television shows or movies?","How do you think this system could change general perceptions of stereotypes?"
"2020/06/03 8:34:35 PM GMT+2","Traditional System only","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Man","35-44 years old","Caucasian/White","No","Original cast","I think it would remove the artistry from the video world. Artists would not put their heart into their work because ir would only be changed by the user. "
"2020/06/03 8:36:42 PM GMT+2","Traditional System only","Traditional System only","Traditional System only","Traditional System only","Prefer not to say","25-34 years old","Prefer not to say","Yes","Original cast","Instead of turning to AI, why not just hire more diverse casts, and create more diverse stories? This is silly to me."
"2020/06/03 8:39:24 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Man","55-64 years old","African-American/Black","Yes","Original cast","If the viewer is in complete control, I fear that many(most?) would opt to see people like themselves, and may end up reinforcing the stereotypes you're working against. Very interesting prospect. I think that AI generated actors in all media is inevitable. I'm skeptical that stereotypes will be changed. I hope I'm wrong"
"2020/06/03 8:52:07 PM GMT+2","Traditional System only","Traditional System + AI generated & animated faces option","AI generated & animated faces option only","Traditional System + AI generated & animated faces option","Man","18-24 years old","Caucasian/White","Yes","Friends",""
"2020/06/03 8:58:26 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System only","Man","25-34 years old","African-American/Black","Yes","Yourself","Well it a great idea in theory to get people to see other people in a different light! It can be great because a lot of people learn and pick up things visually! So it could be beneficial "
"2020/06/03 9:24:37 PM GMT+2","Traditional System only","Traditional System only","Traditional System + AI generated & animated faces option","AI generated & animated faces option only","Man","35-44 years old","Caucasian/White","Yes","Original cast",""
"2020/06/03 10:04:25 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Man","18-24 years old","Caucasian/White","Yes","Original cast","Maybe this system could enable anyone to play the role of a person in some movies/tvseries/video games/ads for which traditional approach would be to put famous handsome actor/actress in there. It makes you realise that this story/plotline could plausibly be more captivating when it's happening to you. However, it's just an option as sometimes good actors are really what you watch certain movies/shows for."
"2020/06/03 10:33:53 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System only","Man","35-44 years old","African-American/Black","Yes","Yourself","The viewer would have more control of there overall experience with entertainment."
"2020/06/03 10:36:02 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","AI generated & animated faces option only","Traditional System only","Man","25-34 years old","Caucasian/White","Yes","Friends",""
"2020/06/04 12:29:06 AM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","AI generated & animated faces option only","AI generated & animated faces option only","Woman","25-34 years old","Latino or Hispanic","Yes","AI generated actors/actresses","I think this would be especially helpful for parents with small children, so that at a young age children get to see more diversity in the heroes, princes, princesses, protagonists, antagonists, etc. which generally happens before they get attached to any specific actresses/actors."
"2020/06/04 12:42:36 AM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Woman","25-34 years old","Other/Unknown","Yes","Original cast","Widen"
"2020/06/04 4:32:21 AM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Man","45-54 years old","Caucasian/White","Yes","AI generated actors/actresses","Exposure to more diversity break preconceived ideas about who does what. All of us carry biases. Think about the classic ""judges were blown away when this contestant started singing"" clickbait video. Why did they pass judgement on what that person should be like with a glance?   Seeing different people in different roles that are not pre-defined would be refreshing."
"2020/06/04 4:55:57 AM GMT+2","Traditional System only","Traditional System only","Traditional System only","Traditional System only","Man","25-34 years old","Caucasian/White","Yes","Original cast","I think this is an interesting hypothesis, but I'm not quite sure how this sort of technology could affect stereotypes. All that comes to mind for me are all of the negative implications and the black-mirror-esque potential here."
"2020/06/04 5:22:06 AM GMT+2","Traditional System + AI generated & animated faces option","Traditional System only","Traditional System only","Traditional System + AI generated & animated faces option","Man","25-34 years old","Latino or Hispanic","Yes","AI generated actors/actresses","I think it could be used to show that all people are similar"
"2020/06/04 5:33:47 AM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Man","25-34 years old","Two or More","Yes","Friends","Not knowing if you are looking at a real or generated face may eventually bring to light the ridiculousness of prejudice altogether."
"2020/06/04 6:43:24 AM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System only","Man","25-34 years old","African-American/Black","Yes","Yourself","Well it a great idea in theory to get people to see other people in a different light! It can be great because a lot of people learn and pick up things visually! So it could be beneficial "
"2020/06/04 8:00:07 AM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System only","Man","45-54 years old","Two or More","Yes","Family",""
"2020/06/04 9:44:39 AM GMT+2","Traditional System only","Traditional System + AI generated & animated faces option","Traditional System only","Traditional System + AI generated & animated faces option","Woman","25-34 years old","Caucasian/White","Yes","Original cast","I think it would be helpful, but it would worry me to see that as a society we are so prejudiced that we cannot cast real actors in movies and have to resolve to AI. "
"2020/06/04 9:45:47 AM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Man","25-34 years old","Two or More","Yes","Friends","This could be used to generate a consistently diverse cast in future projects which would normalize diversity in the minds of young people. "
"2020/06/04 12:37:08 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Tend not to watch so don't really care. Commercials are for kitchen, bathroom etc.","AI generated & animated faces option only","Woman","65-74 years old","Two or More","Yes","AI generated actors/actresses","Since covid I have been binge watching a lot of TV.  it's appalling to realize that in many, especially older shows, there are no POC except in minor roles or as bad guys. The downside would be it would eliminate jobs."
"2020/06/04 12:49:06 PM GMT+2","Traditional System only","Traditional System only","Traditional System + AI generated & animated faces option","Traditional System only","Woman","35-44 years old","African-American/Black","Yes","Friends",""
"2020/06/04 2:39:06 PM GMT+2","Traditional System only","Traditional System + AI generated & animated faces option","Traditional System only","Traditional System + AI generated & animated faces option","Man","25-34 years old","Caucasian/White","Yes","Original cast","It could continue to normalize diversity. "
"2020/06/04 4:10:06 PM GMT+2","Traditional System only","Traditional System only","Traditional System only","Traditional System + AI generated & animated faces option","Man","35-44 years old","Asian","No","Original cast","I think on a default level, we want to see those closest to ourselves, but in a system that is self-reinforced with our own biases, we will not have the chance to cross-pollinate diversity as the instinctual preference is to similar to ourselves.  Instead, I think casting needs to be taken much more seriously to align with what we aim as society's diversity goals, to encourage programming that shows what a world could be if race were not a factor in anyone's bias.     

Long story short.   If someone is motivated by short term revenue gains, I think the AI will improve incremental revenue and profit, but in the long term will cost viewers in terms of social capital."
"2020/06/04 4:20:10 PM GMT+2","Traditional System only","Traditional System only","Traditional System only","Traditional System only","Woman","55-64 years old","Prefer not to say","Yes","Family",""
"2020/06/04 4:24:47 PM GMT+2","Traditional only","Traditional System + AI generated & animated faces option","Traditional System only","Traditional System + AI generated & animated faces option","Woman","25-34 years old","African-American/Black","No","Original cast","I think it could and will be used in a divisive and agenda  based just as media currently provides. This provides more tools"
"2020/06/04 4:47:25 PM GMT+2","Traditional System + AI generated & animated faces option","AI generated & animated faces option only","AI generated & animated faces option only","Traditional System + AI generated & animated faces option","Woman","35-44 years old","African-American/Black","Yes","AI generated actors/actresses",""
"2020/06/04 5:12:09 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System only","Traditional System only","Man","25-34 years old","African-American/Black","Yes","Yourself","It can’t. Amerikkka infrastructure is built on keeping minorities in an depressed state. "
"2020/06/04 5:22:49 PM GMT+2","Traditional System + AI generated & animated faces option","AI generated & animated faces option only","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Man","18-24 years old","African-American/Black","Yes","AI generated actors/actresses","There could be an equal opportunity for representation for roles that would eliminate type casting. "
"2020/06/04 5:53:25 PM GMT+2","Traditional System only","Traditional System only","Traditional System only","Traditional System only","Woman","25-34 years old","African-American/Black","No","Yourself","Stop stereotyping , show blacks in a positive light, even on the news. Just make things equal in how they display or disclose things about other races"
"2020/06/04 6:21:07 PM GMT+2","Traditional System only","Traditional System only","Traditional System only","Traditional System only","Woman","25-34 years old","Caucasian/White","No","Original cast","There is a huge amount of bias within the FFHQ dataset that StyleGAN2 used, and huge biases in so many other common datasets in the ML / data science community.

It is APPALLING to me that using generated actors could ever be considered a positive move for diversity. These ""people"" are not real! By replacing actors with generated ones, you would be taking work away from all of the REAL and highly talented POC-identifying actors that should be employed. 

""Washing over"" existing media that used a non-diverse cast with a generated cast doesn't do ANYTHING to improve representation of persons of color in media. Instead, we must be critical of the creators who made the problematic casting choices in the first place, and work to increase representation of talented and diverse individuals in media moving forward. 

You want people to support diversity through the choice of the media they consume? Then we must CHOOSE to support media that employs real diverse talent.

You want to break down harmful stereotypes in media? Then please see that this technology has a huge and dangerous potential to enforce harmful stereotypes. 

It is a similar problem as with the old Disney animations with racist depictions of Black people. To erase this problematic media is to deny that these issues of racism and representation existed. We have to RECOGNIZE that it happened and say LOUDLY how wrong it was (and is). And we have to be better now that we know better. 

This is the way to effect change and improve representation in media - by supporting REAL PEOPLE - actors and creators - who are telling important stories. Using generated actors is just another opportunity for people to stay in their comfort bubble. Black and other POC are IMPORTANT and we must SEE them. Not generated facsimiles of them. "
"2020/06/04 6:41:22 PM GMT+2","Traditional System only","Traditional System only","Traditional System only","Traditional System only","Man","18-24 years old","African-American/Black","","Yourself","Diverse crowd "
"2020/06/04 9:54:25 PM GMT+2","Traditional System only","Traditional System + AI generated & animated faces option","AI generated & animated faces option only","Traditional System only","Woman","45-54 years old","Caucasian/White","Yes","Yourself","I don’t know"
"2020/06/04 10:14:17 PM GMT+2","Traditional System only","Traditional System + AI generated & animated faces option","Traditional System only","Traditional System + AI generated & animated faces option","Man","25-34 years old","African-American/Black","No","Original cast","Not sure, i feel qualified real people could be used for diversity as opposed to AI"
"2020/06/04 11:03:43 PM GMT+2","Traditional System only","Traditional System only","Traditional System only","Traditional System only","Man","18-24 years old","African-American/Black","Yes","Family","I don’t think it could because you are not making them. The AI has a mind of its own it will think & do what it wants to do. There is no guarantee that it will or won’t believe the general perceptions or stereotypes. Even if you thought you programmed it to think a certain way , again there is no guarantee because it think for itself."
"2020/06/05 2:48:23 AM GMT+2","Traditional System + AI generated & animated faces option","Traditional System only","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Man","25-34 years old","Asian","Yes","Friends","By having these AI generated faces, the possibilities are kinda endless. You could break gender and race stereotypes really easily. It would also enable us to make decisions much easily especially in online shopping. "
"2020/06/05 3:32:31 AM GMT+2","Traditional System only","Traditional System only","Traditional System only","Traditional System only","Man","18-24 years old","African-American/Black","Yes","Family","I don’t think it could because you are not making them. The AI has a mind of its own it will think & do what it wants to do. There is no guarantee that it will or won’t believe the general perceptions or stereotypes. Even if you thought you programmed it to think a certain way , again there is no guarantee because it think for itself."
"2020/06/05 2:14:35 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System only","Traditional System + AI generated & animated faces option","Woman","45-54 years old","African-American/Black","Yes","AI generated actors/actresses","No.  There are racist people who will believe what they believe if they see a human or an AI. "
"2020/06/05 3:18:12 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System only","Traditional System only","Man","25-34 years old","African-American/Black","Yes","Yourself","It can’t. Amerikkka infrastructure is built on keeping minorities in an depressed state. "
"2020/06/06 1:50:55 PM GMT+2","Traditional System only","Traditional System only","AI generated & animated faces option only","Traditional System only","Woman","25-34 years old","Caucasian/White","Yes","Original cast","1. What if we just end up even more seeing even more of ourselves/a very sanitized version of the world, with less diversity, or just the ""right"" kind diversity, ie. the one that does not make us uncomfortable.    2. I can see this feeding us even more unattainable body stereotypes, possibly in a more subtle, therefore dangerous way. "
"2020/06/06 2:11:25 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Woman","35-44 years old","African-American/Black","Yes","Yourself","For entertainment purposes, it would be great for those who aren’t represented to see themselves and community in a better light. But I wouldn’t want to take the responsibility off of the powers that be to implement changes in the casting rooms, production rooms, writers tables etc. Does changing to AI remove them from that responsibility to cast more minority actors, hire more black directors to tell black stories etc.? I would have to understand the concept more because I would prefer more diversity in let’s say, a Disney show with an all white cast but the whole show would have to changed because of the themes and subject matters addressed. Telling more diverse stories is the first step. Another layer is the use of white voices for black cartoon characters. Boondocks is authentic because it was written by a black man, white black story lines (as wild as they were) with black voices. Our people are nuanced and unique. Just putting a friends face on a basic white character wouldn’t do them justice. On a call yesterday, a mom mentioned the movie Jumanji. I didn’t see the second one so I don’t recall all of the details. Apparently a black character from the first movie was portrayed as a white person in the second one. When they got to the game, he said something offensive which the writers portrayed as basically the voice of the original black character. Having that character in AI as a black person would be even more offensive. "
"2020/06/06 4:03:14 PM GMT+2","Traditional System only","AI generated & animated faces option only","","AI generated & animated faces option only","Man","35-44 years old","African-American/Black","Yes","Original cast","It is a very interesting idea/technology.  I believe it can have some impact with underrepresented groups being able to see “themselves”.  I also believe it will allow people to self-segregate, isolate themselves, and live in a bubble.  For instance the interracial Cheerios commercial years back forced people uncomfortable with those relationships to deal with it and they couldn’t escape it no matter how much they complained.  Because of that now you have way more commercials with interracial couples, gay couples, etc.  

I believe those media images force desensitization and hopefully those relationships won’t seem like a big deal anymore to the majority of society over time leading to increased acceptance.  I feel that work can be lost if people can control their own narrative.  So now they can “segregate” their own media.  

Also what are the financial implications?  Now you have more diversity in hiring actors which is creating more wealth for minorities.  Will this technology change hiring practices?  Will casting directors only hire certain people if with technology their appearance can be changed?  This could be another way for minority groups to be excluded.  So for instance I could watch a whole Star Wars movie with black characters which would be great from a representation.  However how does that impact John Boyega or whoever the next John Boyega could be?  Even if a studio wants diversity in their imaging they could hire a white actor, pay him a large sum of money, and just change their race with the technology.  As we know wealth is the source of power in our society.

I believe that this technology does have a lot of positives.  Just like with anything there is the power could be used for negative intentions and unintended consequences.  Once technology is out there it is almost impossible to regulate its usage."
"2020/06/06 5:12:41 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System only","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Woman","55-64 years old","Caucasian/White","Yes","Yourself","This system is currently too abstract for me. I am quite skeptical about the effectiveness of this system to combat injustice and stereotypes. Whether artificial or in reality we give a role to the person, basically it is a human who gives this role. If the human being has bad intentions at the base, how could this system change stereotypes? What I see in the United States is terrible. I think that this kind of system could be something fun for fun, films for example but unfortunately not effective enough to fight against inequalities. Besides, I think if this system fell into malicious hands, what would happen? This would involve great risks of manipulation."
"2020/06/06 11:21:04 PM GMT+2","Traditional System only","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Woman","45-54 years old","African-American/Black","Yes","Original cast","I am unsure at this time."
"2020/06/07 1:05:32 AM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Woman","35-44 years old","African-American/Black","Yes","Original cast","I think this is a slippery slope. For some this option could lead to people choosing only those who look like them to play characters for entertainment and advertisement. Casting directors, writers, directors, etc. need to be accountable. This could fuel bias in my view. However, seeing myself in a dress vs a person who doesn’t look like me at all seems to make sense. "
"2020/06/07 4:42:33 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","AI generated & animated faces option only","N/A","Woman","65-74 years old","African-American/Black","Yes","Original cast","It is intriguing to see the AI faces, and I am wondering about the original artists who made the films and videos seen.  Where do they belong in this?  Can a role closely ID'd w/ one person be altered to make it 'belong' to another one?  Hmmm..."
"2020/06/07 5:13:46 PM GMT+2","AI generated & animated faces option only","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","","Woman","65-74 years old","African-American/Black","Yes","AI generated actors/actresses","I think it would help society see the real product and get rid of some general perceptions."
"2020/06/07 5:18:18 PM GMT+2","Traditional system for entertainment because it respects the artists intention.  Also, heads up, but the REASON for any of these is probably more important than the outright data points.","Traditional System + AI generated & animated faces option","I have no preference. But find the idea of race and gender tailored commercials by corporations or politicians to be disturbing.","Do not care.","Prefer not to say","35-44 years old","Prefer not to say","No","Original cast","Would make things worse because it doesn't reflect life, just people's bubbles."
"2020/06/07 7:14:52 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","AI generated & animated faces option only","AI generated & animated faces option only","Man","55-64 years old","Other/Unknown","Yes","Original cast","I think that this Ai can enable us to understand even better for the people that dont know that a hunman being is no different he is just another human being. And it is the artificial intelligence could help ,mankind or humanity to understand and in time to learn beyond to understand and be in the phase of learning. All the western nations have erased all the other civilizations in the world. Other African empires and South American empire and tribes. It can help all people to understand history. It is what the rich do not want to have throughout history."
"2020/06/07 8:17:05 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System only","Traditional System + AI generated & animated faces option","Traditional System only","Woman","25-34 years old","Caucasian/White","Yes","Yourself","I think that this system could help minorities to feel empowered as they could portray and see themselves or their community much more represented, which is something that is very needed currently, as the world of today that still has a tremendous lack of diversity, whether it is in the media, in the movie industry, or on TV and tv shows. 
This underrepresentation in these different supports also shows a certain aspect of our society that goes beyond movies and media : people of different cultural backgrounds and ethnicities still do not see each other enough as belonging to one single human race. And it is because of pre-existing misconceptions and clichés that we end up being at this point. 
As such, it is not because our society calls itself ""multicultural"" and ""tolerant"" that racism is being erased. The infuriating acts of violence committed against the African-American today  are mostly based on misconceptions and clichés, factors which lead to fear. People have been ingrained with, at the very beginning of their life (mostly because of the way they were raised), wrong perceptions of the other being that is different from them. These wrong perceptions are causing fear, and fear leads inextricably to violence.

I am not so sure though that this system could truly change perceptions of stereotypes : the people who are unconsciously racists or openly racists will have the choice to see who they want to see with this system anyway : their choice would then only be the reflection of who they are and how they think. They would choose to see people from their own ethnicity and wouldn't lean on wanting more diversity. 
However, again, I think it can definitely empower minorities (whether they are minorities due to their gender or ethnicity). 

I think also, on a lighter tone, that no matter the community you are from, seeing yourself as the hero (or the villain !) in a movie or a show could make you feel about yourself the way you want to ; make you feel like you can aspire to reaching the goals you want, and thus have a positive impact on your life and make you take steps for the changes that you feel you need to undertake.
"
"2020/06/07 10:27:39 PM GMT+2","Traditional System only","Traditional System only","Traditional System only","Traditional System only","Gender non-conforming","35-44 years old","Caucasian/White","No","Original cast","I don't know that this can. This seems to just continue the problem with wanting to make people look like we want them to work."
"2020/06/07 11:18:29 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","AI generated & animated faces option only","Traditional System + AI generated & animated faces option","Man","25-34 years old","Two or More","Yes","AI generated actors/actresses","For the better"
"2020/06/09 12:27:48 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","AI generated & animated faces option only","AI generated & animated faces option only","Woman","25-34 years old","Asian","Yes","Yourself","Encourage more diversity in tv/ads etc. For online shopping or advertising would be good to see someone of your own ethnicity to see how a product looks (e.g. fashion)."
"2020/06/09 9:20:46 PM GMT+2","","Traditional System only","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Woman","35-44 years old","Caucasian/White","Yes","Yourself",""
"2020/06/10 8:48:05 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Man","25-34 years old","Latino or Hispanic","No","Yourself",""
"2020/06/11 6:07:51 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System only","Traditional System only","Traditional System only","Man","18-24 years old","Other/Unknown","Yes","Friends","It might normalise seeing people from underrepresented backgrounds, but ironically will probably be used in place fo hiring actual individuals from these backgrounds and thus is a bit self-defeating.
I'd also like to add that there should be a option to self describe race, as African-American/Black (just one example) is very very reductive. The terms are not at all interchangeable, so why are they the same option?"
"2020/06/11 6:14:57 PM GMT+2","AI generated & animated faces option only","AI generated & animated faces option only","AI generated & animated faces option only","AI generated & animated faces option only","Genderfluid","45-54 years old","Two or More","No","AI generated actors/actresses","That question involves too many variables for me to be able to give a scientific answer.  In someways it might make stereotyping or racism worse because you would be able to make everybody in your experience look a certain way, or have a preferred range of diversity that excludes people you don't like (for whatever reason) from your expierence.

I'm for AI generated faces because I like new, novel, things...so my bias is towards giving me more stuff to play with."
"2020/06/11 6:17:30 PM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Woman","25-34 years old","Latino or Hispanic","Yes","AI generated actors/actresses","I love the idea of being able to map onto a piece of media individuals that look like me. This is a great way for people of color, women, queer and trans people to actually see themselves reflected in the media that they consume. However, I would want to make sure that the technology could not be used to make characters who are already people of color into white people nor would it address that the fundamental problem is that the media industry is not doing enough to ensure diverse casts and diverse stories. "
"2020/06/11 7:50:33 PM GMT+2","Traditional System only","Traditional System + AI generated & animated faces option","Traditional System only","Traditional System only","Woman","25-34 years old","Two or More","Yes","Original cast","By showing different people, other than what may be generally expected as the good/bad people."
"2020/06/13 2:31:31 AM GMT+2","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Traditional System + AI generated & animated faces option","Man","55-64 years old","Prefer not to say","Yes","Family","Exposure "
